scenario,method,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,expected_shortfall_95,ending_wealth,total_one_way_turnover,cost_drag,optimizer_failures,bootstrap_lower_95,bootstrap_upper_95,bootstrap_probability_positive
base,equal_weight,-0.15137009681382907,0.16117286932280087,-0.936660047853742,-1.1680811438338106,-0.6855441480560978,0.02704528610827947,0.36486053455028455,1.2480773777960017,0.0012480773777960863,0,,,
base,inverse_volatility,-0.13703744950297747,0.1506214192991049,-0.9021319363126633,-1.1181694204251458,-0.6494586428207765,0.025327554724947472,0.4043967796458344,1.4378381923800962,0.00143783819237997,0,0.0012332182356962532,0.027942555200818796,0.984
base,sample_min_variance,-0.09742463018107683,0.12606711074863688,-0.7491282646003034,-0.9146653485891377,-0.5745117798887387,0.02086101106566634,0.532771966202566,3.39332221538459,0.0033933222153845755,0,0.0010604715168713314,0.11101589495149848,0.98
base,oas_min_variance,-0.09648990808154101,0.12622073455081134,-0.7398636390408998,-0.9037202519449176,-0.5739181874142985,0.020881246441925183,0.5361703111471167,3.4431800398783574,0.003443180039878313,0,0.004762637251205297,0.10931066419206589,0.98
base,risk_parity,-0.13166086506461439,0.14532949571412568,-0.8976904651671203,-1.1085729811966636,-0.6352697464448804,0.024486304846238132,0.4201240917461445,1.6373985194418486,0.0016373985194418905,0,0.0004581456069538743,0.04216784885266241,0.976
base,minimum_cvar,-0.11133787229824188,0.1289639677277783,-0.8498504909620338,-1.03757579857104,-0.5818967891427802,0.021508659374418627,0.4842801857494016,7.025410782659151,0.007025410782659169,0,-0.019341528599733593,0.10483243718038524,0.912
short_window,equal_weight,-0.14482240046057804,0.15576950803519538,-0.9253932861664773,-1.155143966323539,-0.6855441480560971,0.026309096612750563,0.35372016307005383,1.3014247733027426,0.0013014247733029727,0,,,
short_window,inverse_volatility,-0.13129854594367996,0.14558164317679634,-0.8930392257283902,-1.1075504791594315,-0.6489747509546884,0.02463617792255362,0.3925778444804482,1.8645791092846098,0.0018645791092847253,0,0.0013354167201650423,0.026544752564980952,0.982
short_window,sample_min_variance,-0.0871251385830284,0.12274335060330825,-0.6804390294822552,-0.8346098204173984,-0.5685242383322511,0.02027369463982019,0.545779946145831,6.280138072777687,0.006280138072777608,0,0.00794325260504274,0.11536576934790192,0.992
short_window,oas_min_variance,-0.08775279589689389,0.12300377164593121,-0.684324253792627,-0.8393304364509513,-0.5689749327434324,0.020319917992433878,0.5432919974375983,6.27682442223915,0.006276824422239091,0,0.0034824034866318514,0.12373501614415854,0.98
short_window,risk_parity,-0.12631609588868042,0.14035635762162751,-0.8909175713651677,-1.100428772733434,-0.6347465275749679,0.023797832613871587,0.4077793449121412,2.358776113938884,0.0023587761139389762,0,-0.001436889501468681,0.04091528306613207,0.968
short_window,minimum_cvar,-0.09549295292713744,0.12917573233783386,-0.7115314750932771,-0.8804171115556603,-0.5940777452116947,0.021486279437175446,0.5133940638033042,12.133142350557382,0.012133142350557291,0,-0.004552584774091528,0.10924186678402979,0.964
high_cost,equal_weight,-0.1516295022666051,0.16117712838972106,-0.9385261549484911,-1.1703063796882942,-0.6860775467499035,0.027047897989096226,0.3641759663520218,1.2480773777960017,0.0031201934444902157,0,,,
high_cost,inverse_volatility,-0.1373415004086519,0.15062796108980342,-0.9044236653045011,-1.1208860971968722,-0.6501460900675567,0.025330225695629226,0.40352232155977,1.4378381923800962,0.0035945954809503133,0,0.002598668572138823,0.028253192921504876,0.99
high_cost,sample_min_variance,-0.09817381951644677,0.12607687327177428,-0.7556424533883487,-0.9223391620958923,-0.5749814411124092,0.02086623016517045,0.5300611942106409,3.39332221538459,0.008483305538461439,0,0.003476758923501112,0.11407827615637206,0.986
high_cost,oas_min_variance,-0.09725110117045199,0.12623240052615176,-0.7464558078258462,-0.9114891862485925,-0.5744079411709243,0.020886605266103045,0.5334014942796355,3.4431800398783574,0.008607950099695949,0,0.0032969420268471783,0.11005372553657267,0.988
high_cost,risk_parity,-0.13200880085208844,0.145333786384079,-0.9004150771611523,-1.1117991548888722,-0.6360728618299614,0.024488869241404133,0.4190910680802205,1.6373985194418486,0.00409349629860456,0,6.0310767531462754e-05,0.04017304336920243,0.974
high_cost,minimum_cvar,-0.1128618219872567,0.12896167872713968,-0.8631680331141337,-1.053213952288825,-0.5831497675003977,0.02151559729821486,0.4792010913809686,7.025410782659151,0.01756352695664798,0,-0.011972126643238193,0.10008372087104879,0.924
low_frequency,equal_weight,-0.15048526762669678,0.161002052923465,-0.9313523272227614,-1.1613635252444356,-0.6839336670096747,0.027002334434473953,0.3672036998311985,0.7238562405018792,0.0007238562405020854,0,,,
low_frequency,inverse_volatility,-0.13642293947112627,0.15074176061867484,-0.8965617286209384,-1.1110943547585135,-0.6489377333055608,0.025316286782769655,0.4061689702158086,0.8240850157175528,0.0008240850157174018,0,0.002337762507498789,0.028800519185888655,0.99
low_frequency,sample_min_variance,-0.09564245144919592,0.12646481536813237,-0.7307691707568221,-0.8928054894696706,-0.5817917043857417,0.020887760034492067,0.5392670545457573,1.7914457335480423,0.0017914457335480583,0,0.005496524082913221,0.11463715457379116,0.986
low_frequency,oas_min_variance,-0.09581077508351654,0.12664445341005073,-0.7310206646122054,-0.8932170275079573,-0.581509256679468,0.02092250620059309,0.5386507840402418,1.8192256641222588,0.0018192256641221816,0,-0.003880826993436528,0.10879943445873924,0.966
low_frequency,risk_parity,-0.13141508438388572,0.14539407194372916,-0.8952758788224372,-1.1056136616250507,-0.6355428016542739,0.024462268391529575,0.42085510032463574,0.8894560693117876,0.0008894560693115672,0,-0.001706546305013231,0.03969510011378322,0.964
low_frequency,minimum_cvar,-0.10941260116578899,0.12835137212862244,-0.8376744398038807,-1.0241309879201725,-0.585983339840563,0.021359821935571566,0.49076118952231507,3.9794367085514075,0.003979436708551387,0,-0.014549106935716389,0.10174823728987098,0.924
